Date	Open_AXJO	High_AXJO	Low_AXJO	Close_AXJO	Volume_AXJO	AdjClose_AXJO	Return_AXJO	australia_EMA6	australia_EMA14	australia_MoM6	australia_MoM14	australia_WIILR6	australia_WIILR14	australia_K%6	australia_K%14	australia_OBV	australia_RSI6	australia_RSI14	australia_RoC6	australia_RoC14	australia_MA6	australia_MA14
2010-01-04	4864.899902	4888.700195	4862.299805	4876.299805	0	4876.299805	0.000128411524086	4876.299805	4876.299805	2.52610669694	5.64184681756	0.457854988607	0.439434594149	0.542145011393	0.560565405851	0.0	0.529800980061	0.524810700595	0.000723882722817	0.00160632714362	4954.88526254	4953.51980114
2010-01-05	4887.299805	4930.700195	4887.299805	4924.299805	0	4924.299805	0.00984352929875	4876.299805	4876.299805	2.52610669694	5.64184681756	0.457854988607	0.439434594149	0.542145011393	0.560565405851	0.0	0.529800980061	0.524810700595	0.000723882722817	0.00160632714362	4954.88526254	4953.51980114
2010-01-06	4927.700195	4938.5	4915.299805	4921.399902	0	4921.399902	-0.000588896516223	4890.01409071	4882.699805	2.52610669694	5.64184681756	0.457854988607	0.439434594149	0.542145011393	0.560565405851	0.0	0.529800980061	0.524810700595	0.000723882722817	0.00160632714362	4954.88526254	4953.51980114
2010-01-07	4922.799805	4938.100098	4898.899902	4899.399902	0	4899.399902	-0.00447027277565	4898.98146537	4887.85981793	2.52610669694	5.64184681756	0.457854988607	0.439434594149	0.542145011393	0.560565405851	0.0	0.529800980061	0.524810700595	0.000723882722817	0.00160632714362	4954.88526254	4953.51980114
2010-01-08	4900.299805	4937.899902	4900.299805	4912.100098	0	4912.100098	0.00259219419807	4899.10101869	4889.39849581	2.52610669694	5.64184681756	0.457854988607	0.439434594149	0.542145011393	0.560565405851	0.0	0.529800980061	0.524810700595	0.000723882722817	0.00160632714362	4954.88526254	4953.51980114
2010-01-11	4921.899902	4955.100098	4921.700195	4950.700195	0	4950.700195	0.00785816580076	4902.81504135	4892.4253761	2.52610669694	5.64184681756	0.457854988607	0.439434594149	0.542145011393	0.560565405851	0.0	0.529800980061	0.524810700595	0.000723882722817	0.00160632714362	4914.0332845	4953.51980114
2010-01-12	4938.600098	4940.0	4893.100098	4899.5	0	4899.5	-0.0103420108234	4916.49651382	4900.19535195	23.200195	5.64184681756	0.599137095397	0.439434594149	0.400862904603	0.560565405851	0.0	0.799518005592	0.524810700595	0.00475774581707	0.00160632714362	4917.89998367	4953.51980114
2010-01-13	4886.299805	4887.0	4852.899902	4868.100098	0	4868.100098	-0.00640879722421	4911.64036702	4900.10263836	-56.199707	5.64184681756	1.2831802954	0.439434594149	-0.283180295401	0.560565405851	0.0	0.566134958046	0.524810700595	-0.0114127305862	0.00160632714362	4908.53336583	4953.51980114
2010-01-14	4876.0	4920.5	4875.100098	4898.0	0	4898.0	0.00614200640868	4899.20029015	4895.83563298	-23.399902	5.64184681756	0.558708302282	0.439434594149	0.441291697718	0.560565405851	0.0	0.323049107976	0.524810700595	-0.00475472476652	0.00160632714362	4904.63338217	4953.51980114
2010-01-15	4896.5	4905.399902	4857.799805	4899.600098	0	4899.600098	0.000326683952634	4898.85735011	4896.12421525	0.200196	5.64184681756	0.543051796104	0.439434594149	0.456948203896	0.560565405851	0.0	0.437029426197	0.524810700595	4.08613307761e-05	0.00160632714362	4904.66674817	4953.51980114
2010-01-18	4890.600098	4917.100098	4865.600098	4911.100098	0	4911.100098	0.00234713033104	4899.06956379	4896.58766628	-1.0	5.64184681756	0.430527550065	0.439434594149	0.569472449935	0.560565405851	0.0	0.500605185997	0.524810700595	-0.000203578913306	0.00160632714362	4904.5000815	4953.51980114
2010-01-19	4914.899902	4930.0	4861.200195	4861.200195	0	4861.200195	-0.0101606365181	4902.50685928	4898.52265718	-89.5	5.64184681756	0.918783981588	0.439434594149	0.0812160184116	0.560565405851	0.0	0.496954936606	0.524810700595	-0.0180782508483	0.00160632714362	4889.58341483	4953.51980114
2010-01-20	4874.700195	4905.799805	4865.600098	4868.200195	0	4868.200195	0.00143997361129	4890.7049552	4893.54632889	-31.299805	5.64184681756	0.824336672962	0.439434594149	0.175663327038	0.560565405851	0.0	0.245014245014	0.524810700595	-0.00638836718032	0.00160632714362	4884.36678067	4953.51980114
2010-01-21	4854.200195	4854.899902	4822.200195	4827.200195	0	4827.200195	-0.00842200368878	4884.27502371	4890.16684437	-40.899903	5.64184681756	1.33332910939	0.439434594149	-0.333329109387	0.560565405851	0.0	0.380807877057	0.524810700595	-0.00840161504009	0.00160632714362	4877.55013017	4894.07861329
2010-01-22	4793.899902	4793.899902	4716.0	4750.600098	0	4750.600098	-0.0158684317836	4867.9679298	4881.77129112	-147.399902	-125.699707	1.66419505119	1.53875206365	-0.664195051188	-0.538752063649	0.0	0.354861848273	0.429393755648	-0.0300938958759	-0.0257776822646	4852.98347983	4885.10006279
2010-01-25	4725.700195	4726.600098	4679.899902	4717.899902	0	4717.899902	-0.00688338216761	4834.43426357	4864.2817987	-181.700196	-206.399903	0.991121953271	0.992053947213	0.00887804672897	0.00794605278665	0.0	0.107143323561	0.35187412185	-0.0370846992338	-0.0419145688064	4822.70011383	4870.35721257
2010-01-27	4705.899902	4707.399902	4628.600098	4644.600098	0	4644.600098	-0.0155365322543	4801.13873169	4844.76421248	-266.5	-276.799804	1.14114270359	1.12826954527	-0.141142703591	-0.128269545273	0.0	0.0845906877925	0.247677681872	-0.0542648275706	-0.0562441194603	4778.28344717	4850.585798
2010-01-28	4653.299805	4676.100098	4642.600098	4673.299805	0	4673.299805	0.00617915566345	4756.41340778	4818.07566388	-187.90039	-226.100097	0.851693027425	0.863094312404	0.148306972575	0.136905687596	0.0	0.0249554367201	0.211306238195	-0.0386530861645	-0.046148528702	4746.9667155	4834.43579107
2010-01-29	4656.600098	4656.700195	4566.700195	4569.600098	0	4569.600098	-0.022189825461	4732.66666413	4798.77221603	-298.600097	-342.5	1.21284293782	1.18070444104	-0.212842937817	-0.180704441041	0.0	0.137677338931	0.267434630855	-0.0613368565464	-0.0697257778072	4697.20003267	4809.97150536
2010-02-01	4569.899902	4588.5	4524.100098	4524.100098	0	4524.100098	-0.0099571076296	4686.07621666	4768.21593363	-303.100097	-426.600097	1.14781450489	1.10968101864	-0.147814504891	-0.109681018638	0.0	0.0806172652299	0.203257466084	-0.0627900407598	-0.0861696487763	4646.68334983	4779.50006986
2010-02-02	4550.5	4605.399902	4548.700195	4605.299805	0	4605.299805	0.01794825606	4639.79732562	4735.66715554	-145.300293	-294.200195	0.699037190553	0.80476141829	0.300962809447	0.19523858171	0.0	0.0796109457136	0.134759885099	-0.0305856712842	-0.0600469833656	4622.46663433	4758.48577021
2010-02-03	4631.0	4656.899902	4619.0	4647.899902	0	4647.899902	0.00925023316696	4629.94089115	4718.28484214	-70.0	-220.200196	0.38864294321	0.694999177408	0.61135705679	0.305000822592	0.0	0.301012540646	0.260422912758	-0.0148371100392	-0.0452332925715	4610.79996767	4742.75718479
2010-02-04	4638.399902	4640.0	4598.299805	4621.600098	0	4621.600098	-0.00565842736602	4635.07203711	4708.90018345	-23.0	-276.399902	0.468084537614	0.759792994481	0.531915462386	0.240207005519	0.0	0.406666423253	0.323895976146	-0.00495198714953	-0.0564311763985	4606.96663433	4723.01433464
2010-02-05	4581.5	4584.399902	4488.399902	4514.100098	0	4514.100098	-0.0232603422452	4631.22291165	4697.26017206	-159.199707	-385.5	1.06578947368	1.02463661595	-0.0657894736842	-0.0246366159507	0.0	0.464938919848	0.277670291747	-0.0340658022474	-0.0786798906624	4580.43334983	4695.47862036
2010-02-08	4521.700195	4551.0	4515.600098	4521.399902	0	4521.399902	0.00161711168151	4597.75925061	4672.83882885	-48.200196	-389.700196	0.804154302671	0.925271755714	0.195845697329	0.0747282442859	0.0	0.304326480982	0.235051190213	-0.0105480118536	-0.079350896586	4572.39998383	4667.64289207
2010-02-09	4513.299805	4513.399902	4464.899902	4505.100098	0	4505.100098	-0.0036050348019	4575.94229386	4652.64697194	-19.0	-356.100097	0.90088904451	0.962182535566	0.0991109554896	0.0378174644336	0.0	0.422357784621	0.230609132774	-0.00419973024213	-0.0732535346654	4569.23331717	4642.20717086
2010-02-10	4534.0	4570.700195	4498.899902	4513.399902	0	4513.399902	0.00184231289415	4555.70166647	4632.97405541	-91.899903	-354.800293	0.747395833333	0.889997707711	0.252604166667	0.110002292289	0.0	0.466216122025	0.241843733315	-0.0199552487115	-0.0728812043031	4553.91666667	4616.86429279
2010-02-11	4512.100098	4565.299805	4510.899902	4554.299805	0	4554.299805	0.0090618832561	4543.61544805	4617.03083496	-93.600097	-272.90039	0.534375505208	0.770769479487	0.465624494792	0.229230520513	0.0	0.279404210037	0.243269864491	-0.0201381481903	-0.0565338869274	4538.3166505	4597.37140779
2010-02-12	4566.100098	4593.299805	4545.0	4562.100098	0	4562.100098	0.00171273155786	4546.66812147	4608.66669763	-59.5	-188.5	0.444887826391	0.704558674772	0.555112173609	0.295441325228	0.0	0.273474113895	0.302503250427	-0.0128743289636	-0.0396791975985	4528.39998383	4583.90712207
2010-02-15	4558.5	4568.700195	4537.899902	4545.5	0	4545.5	-0.00363869657469	4551.07725762	4602.45781768	31.399902	-172.399902	0.372272905845	0.692013612401	0.627727094155	0.307986387599	0.0	0.341839117496	0.348496692558	0.0069559605056	-0.0365416616675	4533.63330083	4571.59284336
2010-02-16	4550.399902	4598.200195	4550.399902	4567.799805	0	4567.799805	0.00490590804092	4549.48375544	4594.86344199	46.399903	-76.800293	0.198598280873	0.575670503093	0.801401719127	0.424329496907	0.0	0.661522618186	0.357755511857	0.0102622869035	-0.0165353940877	4541.366618	4566.10710814
2010-02-17	4586.200195	4672.899902	4585.399902	4667.899902	0	4667.899902	0.0219142916225	4554.71691246	4591.25495706	162.799804	-5.399903	-0.52287737282	0.0388266495738	1.52287737282	0.961173350426	0.0	0.706773726245	0.430810363962	0.0361367784197	-0.00115547968787	4568.49991867	4565.72140079
2010-02-18	4672.700195	4673.100098	4633.399902	4654.899902	0	4654.899902	-0.00278497831422	4587.05490947	4601.47428305	141.5	85.299804	0.103448275862	0.0865384615385	0.896551724138	0.913461538462	0.0	0.915305622449	0.495689725188	0.0313510885524	0.0186667984442	4592.083252	4571.81424393
2010-02-19	4662.5	4672.200195	4609.600098	4635.100098	0	4635.100098	-0.00425354023005	4606.43919305	4608.59769891	80.800293	111.0	0.234278385212	0.182516638937	0.765721614788	0.817483361063	0.0	0.852515849063	0.579615389992	0.0177415401839	0.0245352661514	4605.5499675	4579.74281536
2010-02-22	4654.700195	4717.5	4654.700195	4717.5	0	4717.5	0.0177773727121	4614.62802304	4612.13135212	155.399902	112.200195	-0.328401165927	-0.213255812689	1.32840116593	1.21325581269	0.0	0.724945014924	0.608823738524	0.0340632381276	0.0243632770397	4631.44995117	4587.757115
2010-02-23	4705.600098	4718.299805	4688.200195	4718.299805	0	4718.299805	0.000169540010599	4644.02001645	4626.18050517	172.799805	70.399903	-0.00445325480836	-0.00316628934958	1.00445325481	1.00316628935	0.0	0.805664991603	0.609742143286	0.0380155769442	0.0151466048074	4660.24991867	4592.7856795
